Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
70334,2007,02/12/2008,Meriden,70 RANDOLPH AVE.,76100.0,73251.0,1.038893667,Single Family,Single Family,14 - Foreclosure,,,
70089,2007,01/31/2008,Brookfield,110 HEATHEWOOD,186140.0,225000.0,0.827288889,Condo,Condo,,,,
70532,2007,09/15/2008,Enfield,NUTMEG VILLAGE #B02 UC,107590.0,161250.0,0.667224806,Condo,Condo,,,,
70625,2007,07/08/2008,Greenwich,23 ORCHARD PL #EAST B,0.0,1400000.0,0.0,Condo,Condo,07 - Change in Property,,,
70405,2007,04/21/2008,Manchester,34 ADAMS ST SOUTH,120300.0,148600.0,0.809555855,Single Family,Single Family,14 - Foreclosure,,,
70060,2007,11/19/2007,New Milford,15 GREENFIELD CT,116690.0,369000.0,0.316233062,Single Family,Single Family,07 - Change in Property,,,
70232,2007,07/23/2008,Darien,1 ROBINSON ST,366660.0,735000.0,0.498857143,Single Family,Single Family,,,,
70004,2007,10/01/2007,Clinton,7 OSPREY COMMONS SOUTH,601900.0,995000.0,0.604924623,Single Family,Single Family,,,,
70104,2007,08/06/2008,Killingworth,116 BURR HILL RD,220900.0,300000.0,0.736333333,Single Family,Single Family,,,,
70060,2007,09/26/2008,Lisbon,24 DOGWOOD DR,151000.0,170000.0,0.888235294,Single Family,Single Family,,,,
70173,2007,07/03/2008,Oxford,431 & 435 ROOSEVELT DR,278540.0,345000.0,0.807362319,Two Family,Two Family,,,,
70138,2007,01/03/2008,Branford,128 MILL PLAIN ROAD,300100.0,97500.0,3.077948718,Single Family,Single Family,08 - Part Interest,,,
70252,2007,04/10/2008,Branford,30 OLD SMUGGLERS RD,200400.0,315000.0,0.636190476,Single Family,Single Family,,,,
70612,2007,07/10/2008,Manchester,159 SCHOOL ST,152100.0,120000.0,1.2675,Two Family,Two Family,25 - Other,ASSESS> SALE,,POINT (-72.51293 41.76707)
70153,2007,05/28/2008,Colchester,461 WESTCHESTER RD,134500.0,165000.0,0.815151515,Single Family,Single Family,,ESTATE,,
70156,2007,04/30/2008,Ledyard,7 RAMBLEWOOD DR,152390.0,247500.0,0.615717172,Single Family,Single Family,,,,
70137,2007,08/04/2008,Brooklyn,9 RIVERWALK DR,85520.0,189900.0,0.450342285,Condo,Condo,07 - Change in Property,,,
70221,2007,01/22/2008,Hamden,20 THOMAS ST.,136640.0,220000.0,0.621090909,Single Family,Single Family,,,,
70101,2007,06/17/2008,Burlington,SPIELMAN HWY,74900.0,65000.0,1.152307692,,,07 - Change in Property,SAND/GRAVEL REMOVED FROM LOT,,
70353,2007,03/31/2008,Hamden,25 HAMDEN HILLS DR #28,236460.0,327500.0,0.722015267,Condo,Condo,,,,POINT (-72.90747 41.38785)
70617,2007,05/19/2008,New Haven,115 WEST ELM ST,290010.0,403060.0,0.719520667,Three Family,Three Family,10 - A Will,,,POINT (-72.96282 41.32231)
70132,2007,04/15/2008,Darien,176 LONG NECK POINT RD,2466240.0,4350000.0,0.566951724,Single Family,Single Family,,,,
70100,2007,01/29/2008,Ledyard,19J LAKESIDE DR,93100.0,129900.0,0.716705158,Condo,Condo,,,,
70604,2007,06/27/2008,Stratford,562B ONEIDA LN,174230.0,220000.0,0.791954545,Condo,Condo,,,,
70059,2007,12/05/2007,Ledyard,596 LANTERN HILL RD.,42910.0,20000.0,2.1455,Single Family,Single Family,25 - Other,DWELLING ONLY- OWNER OF LAND IS PART OF BUSH MILL LLC,,
70258,2007,03/31/2008,Newington,263 HILLSIDE AVE,184280.0,246000.0,0.749105691,Single Family,Single Family,,,,
71155,2007,05/15/2008,Bridgeport,583 GLENDALE AVE,50750.0,120600.0,0.420812604,Condo,Condo,,,,
